id,tag_ids/id
"l10n_ch.ch_coa_1060","l10n_ch_account_tags.account_tag_ch_106"
"l10n_ch.ch_coa_1069","l10n_ch_account_tags.account_tag_ch_106"
"l10n_ch.ch_coa_1091","l10n_ch_account_tags.account_tag_ch_106"
"l10n_ch.ch_coa_1099","l10n_ch_account_tags.account_tag_ch_106"
"l10n_ch.ch_coa_1100","l10n_ch_account_tags.account_tag_ch_110"
"l10n_ch.ch_coa_1109","l10n_ch_account_tags.account_tag_ch_110"
"l10n_ch.ch_coa_1140","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1149","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1170","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1171","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1176","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1180","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1189","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1190","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1199","l10n_ch_account_tags.account_tag_ch_114"
"l10n_ch.ch_coa_1200","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1207","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1208","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1209","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1210","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1217","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1218","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1219","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1220","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1230","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1250","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1260","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1267","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1269","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1270","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1277","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1279","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1280","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1287","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1289","l10n_ch_account_tags.account_tag_ch_120"
"l10n_ch.ch_coa_1300","l10n_ch_account_tags.account_tag_ch_130"
"l10n_ch.ch_coa_1301","l10n_ch_account_tags.account_tag_ch_130"
"l10n_ch.ch_coa_1400","l10n_ch_account_tags.account_tag_ch_140"
"l10n_ch.ch_coa_1409","l10n_ch_account_tags.account_tag_ch_140"
"l10n_ch.ch_coa_1440","l10n_ch_account_tags.account_tag_ch_140"
